id,label,subcategory,franchise,fandom_wiki,requested_page,resolved_page,status,source_page,image_file,local_path,resolution_method,original_width,original_height,saved_width,saved_height,error,notes
character-animated-simba,Simba,animated-characters,Disney,disney,Simba,Simba,downloaded,https://disney.fandom.com/wiki/Simba,File:Profile - Simba.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-simba.webp,portable-infobox,1089,988,1089,988,,
character-animated-timon,Timon,animated-characters,Disney,disney,Timon,Timon,downloaded,https://disney.fandom.com/wiki/Timon,File:Profile - Timon.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-timon.webp,portable-infobox,1200,1135,1200,1135,,
character-animated-pumbaa,Pumbaa,animated-characters,Disney,disney,Pumbaa,Pumbaa,downloaded,https://disney.fandom.com/wiki/Pumbaa,File:Profile - Pumbaa.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-pumbaa.webp,portable-infobox,1161,1080,1161,1080,,
character-animated-aladdin,Aladdin,animated-characters,Disney,disney,Aladdin,Aladdin (musical),downloaded,https://disney.fandom.com/wiki/Aladdin_(musical),File:Aladdin-Bposter.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-aladdin.webp,portable-infobox,1200,1553,927,1200,,
character-animated-princess-jasmine,Princess Jasmine,animated-characters,Disney,disney,Princess Jasmine,Jasmine (musical),downloaded,https://disney.fandom.com/wiki/Jasmine_(musical),File:Princess Jasmine on Aladdin the Broadway Musical 1.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-princess-jasmine.webp,portable-infobox,959,720,959,720,,
character-animated-genie,Genie,animated-characters,Disney,disney,Genie,Genie,downloaded,https://disney.fandom.com/wiki/Genie,File:Profile - Genie.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-genie.webp,portable-infobox,914,742,914,742,,
character-animated-belle,Belle,animated-characters,Disney,disney,Belle,Belle,downloaded,https://disney.fandom.com/wiki/Belle,File:Profile - Belle.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-belle.webp,portable-infobox,1200,1423,1012,1200,,
character-animated-the-beast,The Beast,animated-characters,Disney,disney,The Beast,Beast,downloaded,https://disney.fandom.com/wiki/Beast,File:Profile - Beast.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-the-beast.webp,portable-infobox,1200,1220,1180,1200,,
character-animated-mulan,Mulan,animated-characters,Disney,disney,Mulan,Mulan (Once Upon a Time),downloaded,https://disney.fandom.com/wiki/Mulan_(Once_Upon_a_Time),File:Once Upon a Time - 5x09 - The Bear King - Photography - Mulan.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-mulan.webp,portable-infobox,1200,1799,800,1200,,
character-animated-mushu,Mushu,animated-characters,Disney,disney,Mushu,Mushu,downloaded,https://disney.fandom.com/wiki/Mushu,File:Profile - Mushu.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-mushu.webp,portable-infobox,1071,993,1071,993,,
character-animated-tiana,Tiana,animated-characters,Disney,disney,Tiana,Tiana (TV series),downloaded,https://disney.fandom.com/wiki/Tiana_(TV_series),File:Tiana logo.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-tiana.webp,portable-infobox,1200,675,1200,675,,
character-animated-baymax,Baymax,animated-characters,Disney,disney,Baymax,Baymax,downloaded,https://disney.fandom.com/wiki/Baymax,File:Profile - Baymax.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-baymax.webp,portable-infobox,917,782,917,782,,
character-animated-wreck-it-ralph,Wreck-It Ralph,animated-characters,Disney,disney,Wreck-It Ralph,Wreck-It Ralph (video game),downloaded,https://disney.fandom.com/wiki/Wreck-It_Ralph_(video_game),File:Wreck-It Ralph video game wii.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-wreck-it-ralph.webp,portable-infobox,1200,1685,855,1200,,
character-animated-vanellope,Vanellope,animated-characters,Disney,disney,Vanellope,Vanellope von Schweetz,downloaded,https://disney.fandom.com/wiki/Vanellope_von_Schweetz,File:Profile - Vanellope Von schweetz.jpeg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-vanellope.webp,portable-infobox,666,798,666,798,,
character-animated-mirabel,Mirabel,animated-characters,Disney,disney,Mirabel,Mirabel Madrigal,downloaded,https://disney.fandom.com/wiki/Mirabel_Madrigal,File:Profile - Mirabel Madrigal.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-mirabel.webp,portable-infobox,1200,1040,1200,1040,,
character-animated-bruno-madrigal,Bruno Madrigal,animated-characters,Disney,disney,Bruno Madrigal,Bruno Madrigal,downloaded,https://disney.fandom.com/wiki/Bruno_Madrigal,File:Profile - Bruno Madrigal.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-bruno-madrigal.webp,portable-infobox,993,1024,993,1024,,
character-animated-lightning-mcqueen,Lightning McQueen,animated-characters,Pixar,pixar,Lightning McQueen,Lightning McQueen,downloaded,https://pixar.fandom.com/wiki/Lightning_McQueen,File:LightningMcqueen3.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-lightning-mcqueen.webp,portable-infobox,1200,900,1200,900,,
